"Type","Name","Request Count","Failure Count","Median Response Time","Average Response Time","Min Response Time","Max Response Time","Average Content Size","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%"
"GET","/storyart/ncrnau/res/getResourceList?page=1&pageSize=999&pkg=instagramstory.maker.unfold&rt=7%2C+9%2C+12&st=2&ver=1008",51,0,82,109,42,359,57627,2.37,0.00,82,84,120,160,240,320,320,360,360,360,360,360
"None","Aggregated",51,0,82,109,42,359,57627,2.37,0.00,82,84,120,160,240,320,320,360,360,360,360,360
